,image,gen_caption
0,52691.png,the men are watching the football game of the crowd .
1,37825.png,two men are wearing white shirts and blue shirts and white shirts .
2,06781.png,little girl in blue shirt is holding blue and white animal .
3,49075.png,man and woman are sitting on an orange sign .
4,73516.png,the bird is wearing blue shirt and blue shirt .
5,14260.png,dog is jumping up to catch ball in the snow .
6,84059.png,woman in white shirt and black dress is holding up sign .
7,91753.png,woman in black and white dress is walking beside her sign .
8,68472.png,three women in white shirts and black shirts and white shirts .
9,04915.png,two men in brown shirts are standing next to each other .
10,91654.png,two women sit on the floor and one is sitting on the floor and one is sitting next to the other .
11,47982.png,the white and black dog is wearing green and white shirt and green shirt .
12,71083.png,two dogs are playing together .
13,73045.png,bird in the air .
14,47938.png,the man is wearing white shirt and black jacket .
15,53260.png,three men are standing in front of white wall and one man in white shirt and one hand .
16,50738.png,the little girl is wearing white and black striped shirt .
17,89754.png,person is walking through the water .
18,36095.png,man and woman pose for picture .
19,85410.png,person in red and black pants is walking through the snow .
20,28759.png,brown dog is playing with tennis ball .
21,51094.png,man with blue shirt and black shirt is wearing black shirt .
22,49613.png,two men and two women are sitting on bench .
23,70942.png,man in black and white shirt and brown cap is walking along the side of the wall .
24,35708.png,two men in orange and brown and white shirts are sitting on the floor .
25,52140.png,man and woman are posing for picture .
26,23018.png,the small brown dog is walking through the green grass .
27,12867.png,man with glasses and glasses is holding his hand and holding his hand .
28,72461.png,woman with black hair and white hair and black hair smiling .
29,13570.png,the two men are wearing red and white uniforms .
30,42851.png,two people are walking along the street .
31,27410.png,two women dressed in black and white outfits are posing for picture .
32,75023.png,two women in front of an orange and blue wall .
33,86059.png,man with glasses and glasses is posing for picture .
34,29475.png,man and woman are standing together .
35,70231.png,two men are posing for picture .
36,46075.png,two men are sitting on yellow bench .
37,53962.png,man in black shirt and white shirt is holding onto his head .
38,78054.png,man in blue shirt and sunglasses is standing in front of crowd of people .
39,93016.png,group of men and two men in jackets and hats are standing together .
40,68254.png,little boy in black and white shirt is holding up sign .
41,71380.png,two people are standing on the beach .
42,71954.png,the young girl is wearing white and black hat and white coat .
43,94078.png,two men with sign that has blue sign that has blue sign on the wall .
44,24751.png,an older man with blue jacket and white jacket and glasses is smiling .
45,46271.png,dog jumps to catch tennis ball in his mouth .
46,12956.png,two women are posing for picture .
47,45182.png,man in blue shirt and white shirt is walking on the sidewalk .
48,26910.png,group of people are posing for picture .
49,06852.png,man in blue jacket and blue jacket is holding sign .
50,68137.png,woman in black and white shirt and black pants is playing guitar .
51,87936.png,the little girl is running through the grass .
52,47208.png,two people are sitting on bench in front of white building .
53,78296.png,two people are standing in front of white wall and one has white and one hand .
54,07968.png,the woman in the white dress is holding up her hand and the other people .
55,45687.png,group of people are standing in front of crowd .
56,68549.png,the woman in the blue shirt is holding the hand of the camera .
57,52603.png,man in blue shirt and white shirt is standing in front of white building .
58,86725.png,two men are sitting on the ground and one is holding the other in front of the other .
59,87406.png,two women in white shirts and blue shirts are posing for picture .
60,63547.png,woman in blue coat and backpack walks down street .
61,70189.png,two girls are walking through the snow .
62,05649.png,two men and woman are standing together and one is holding their heads .
63,29714.png,two women and two women are walking along the wall .
64,13907.png,man in white shirt and black jacket is playing with his head on the ground .
65,23907.png,man with white shirt and blue shirt is holding up sign .
66,03495.png,an older man with blue shirt and white jacket is holding camera .
67,41983.png,three dogs are playing in the grass .
68,80172.png,black dog is carrying red collar and blue object in its mouth .
69,91856.png,small brown dog jumps up to catch tennis ball .
70,01569.png,two dogs are playing with each other on the ground .
71,39421.png,two men and two women are standing in front of sign .
72,34796.png,man in black shirt and white shirt is walking on the street .
73,48039.png,the woman is holding up her head and holding up sign .
74,92541.png,dog runs through the snow .
75,26537.png,woman in blue and white shirt and blue jeans is standing on the sidewalk .
76,98603.png,man wearing green shirt and green shirt is holding up sign .
77,84097.png,the person is wearing red and white shirt and blue shorts is standing in the middle of the grass .
78,98035.png,three women and two women are posing for picture .
79,53924.png,small child is sitting on the floor of food .
80,96284.png,group of people are standing in front of large crowd .
81,48310.png,man in black jacket and brown jacket is walking down some stairs .
82,13964.png,two girls in orange dress and orange dress are standing on wall .
83,72084.png,woman in black and white shirt and black pants is walking on the sidewalk .
84,90654.png,the woman in the white shirt and black hat is walking down the street .
85,40618.png,two girls are wearing costumes and holding their mouths .
86,68374.png,man wearing white shirt and black shirt is walking along the side of the wall .
87,01829.png,the boy is wearing the blue shirt and has his mouth open .
88,54028.png,man with green and white hat and blue hat is holding up sign .
